,Salário,Idade,Profissão,Tamanho da Empresa,Cargo de Gestão,Experiência em DS,Tipo de Trabalho,Escolaridade,Área de Formação,Setor de Mercado,Brasil,Estado,Linguagem Python,Linguagem R,Linguagem SQL
367,1500.0,"[25,30]",Outras,,não,Menos de 1 ano,Empreendedor ou Empregado (CNPJ),Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação,Indústria (Manufatura),1,São Paulo (SP),0,0,0
368,,"[25,30]",Analista de Dados,Média,não,de 4 a 5 anos,Outras,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação,Tecnologia/Fábrica de Software,1,Minas Gerais (MG),0,0,0
369,,"[18,24]",Outras,Média,não,de 2 a 3 anos,Estagiário,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação,Outras,1,,1,0,1
370,5000.0,"[18,24]",Cientista de Dados,Pequena,não,de 2 a 3 anos,Outras,Mestrado,Computação / Engenharia de Software / Sistemas de Informação,Tecnologia/Fábrica de Software,1,Minas Gerais (MG),1,0,1
371,,"[41,50]",,,,Mais de 10 anos,Outras,Graduação/Bacharelado,Outras,,1,,1,1,1
372,3500.0,"[31,40]",,Pequena,sim,de 4 a 5 anos,Empreendedor ou Empregado (CNPJ),Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação,Tecnologia/Fábrica de Software,1,Rio Grande do Sul (RS),1,0,1
373,,"[25,30]",Analista de BI,Grande,não,Não tenho experiência na área de dados,Outras,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação,Tecnologia/Fábrica de Software,1,,0,0,0
374,,"[18,24]",Engenheiro de Dados,Média,não,de 1 a 2 anos,Estagiário,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação,Finanças ou Bancos,1,São Paulo (SP),0,0,0
375,1000.0,"[31,40]",,,sim,de 4 a 5 anos,Outras,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação,Finanças ou Bancos,1,Espírito Santo (ES),1,0,1
376,7000.0,"[25,30]",Analista de Dados,,não,de 1 a 2 anos,Outras,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças,Tecnologia/Fábrica de Software,1,São Paulo (SP),1,0,1
377,,"[18,24]",,,,Não tenho experiência na área de dados,Outras,Estudante de Graduação,Outras Engenharias,,1,,0,0,0
